nom_cabina,calidad_aire,codi_dtes,zqa,codi_eoi,longitud,latitud,hora_o3,calidad_o3,valor_o3,hora_no2,calidad_no2,valor_no2,hora_pm10,calidad_pm10,valor_pm10,generat,dateTime
Vall Hebron,Buena,IN,01,08019054,2.148,41.4261,1h,,,3h,Bona,56,3h,Buena,22,21/06/2018 4:00,1529546702
Palau Reial,Buena,IZ,01,08019057,2.1151,41.3875,3h,Buena,60,3h,Bona,24,3h,Buena,23,21/06/2018 4:00,1529546702
Poblenou,Buena,I2,01,08019004,2.2045,41.4039,,,,3h,Bona,86,3h,Buena,31,21/06/2018 4:00,1529546702
Sants,Buena,ID,01,08019042,2.1331,41.3788,,,,4h,Bona,81,,,,21/06/2018 5:00,1529550305
Eixample,Regular,IH,01,08019043,2.1538,41.3853,4h,Buena,1,4h,Regular,100,4h,Regular,45,21/06/2018 5:00,1529550305
Gràcia,Regular,IJ,01,08019044,2.1534,41.3987,4h,Buena,1,4h,Regular,103,4h,Buena,34,21/06/2018 5:00,1529550305
Ciutadella,Buena,IL,01,08019050,2.1874,41.3864,4h,Buena,2,4h,Bona,74,,,,21/06/2018 5:00,1529550305
Vall Hebron,Buena,IN,01,08019054,2.148,41.4261,4h,Buena,47,4h,Bona,39,4h,Buena,22,21/06/2018 5:00,1529550305
Palau Reial,Buena,IZ,01,08019057,2.1151,41.3875,4h,Buena,22,4h,Bona,60,4h,Buena,23,21/06/2018 5:00,1529550305
Poblenou,Buena,I2,01,08019004,2.2045,41.4039,,,,4h,Bona,72,4h,Buena,32,21/06/2018 5:00,1529550305
Sants,Buena,ID,01,08019042,2.1331,41.3788,,,,5h,Bona,70,,,,21/06/2018 6:00,1529553902
Eixample,Regular,IH,01,08019043,2.1538,41.3853,5h,Buena,12,5h,Bona,77,5h,Regular,45,21/06/2018 6:00,1529553902
Gràcia,Buena,IJ,01,08019044,2.1534,41.3987,5h,Buena,7,5h,Bona,88,5h,Buena,34,21/06/2018 6:00,1529553902
Ciutadella,Buena,IL,01,08019050,2.1874,41.3864,5h,Buena,1,5h,Bona,69,,,,21/06/2018 6:00,1529553902
Vall Hebron,Buena,IN,01,08019054,2.148,41.4261,5h,Buena,42,5h,Bona,38,5h,Buena,22,21/06/2018 6:00,1529553902
Palau Reial,Buena,IZ,01,08019057,2.1151,41.3875,5h,Buena,39,5h,Bona,43,5h,Buena,23,21/06/2018 6:00,1529553902
Poblenou,Buena,I2,01,08019004,2.2045,41.4039,,,,5h,Bona,60,5h,Buena,32,21/06/2018 6:00,1529553902
Sants,Buena,ID,01,08019042,2.1331,41.3788,,,,6h,Bona,56,,,,21/06/2018 7:00,1529557505
Eixample,Regular,IH,01,08019043,2.1538,41.3853,6h,Buena,2,6h,Bona,89,6h,Regular,45,21/06/2018 7:00,1529557505
Gràcia,Buena,IJ,01,08019044,2.1534,41.3987,6h,Buena,1,6h,Bona,86,6h,Buena,34,21/06/2018 7:00,1529557505
Ciutadella,Buena,IL,01,08019050,2.1874,41.3864,6h,Buena,1,6h,Bona,65,,,,21/06/2018 7:00,1529557505
Vall Hebron,Buena,IN,01,08019054,2.148,41.4261,6h,Buena,29,6h,Bona,52,6h,Buena,22,21/06/2018 7:00,1529557505
Palau Reial,Buena,IZ,01,08019057,2.1151,41.3875,6h,Buena,39,6h,Bona,39,6h,Buena,23,21/06/2018 7:00,1529557505
Poblenou,Buena,I2,01,08019004,2.2045,41.4039,,,,6h,Bona,59,6h,Buena,32,21/06/2018 7:00,1529557505
Sants,Buena,ID,01,08019042,2.1331,41.3788,,,,7h,Bona,76,,,,21/06/2018 8:00,1529561102
Eixample,Regular,IH,01,08019043,2.1538,41.3853,7h,Buena,1,7h,Bona,87,7h,Regular,45,21/06/2018 8:00,1529561102
Gràcia,Buena,IJ,01,08019044,2.1534,41.3987,7h,Buena,2,7h,Bona,90,7h,Buena,34,21/06/2018 8:00,1529561102
Ciutadella,Buena,IL,01,08019050,2.1874,41.3864,7h,Buena,2,7h,Bona,58,,,,21/06/2018 8:00,1529561102
Vall Hebron,Buena,IN,01,08019054,2.148,41.4261,7h,Buena,6,7h,Bona,83,7h,Buena,22,21/06/2018 8:00,1529561102
Palau Reial,Buena,IZ,01,08019057,2.1151,41.3875,7h,Buena,10,7h,Bona,75,7h,Buena,23,21/06/2018 8:00,1529561102
Poblenou,Buena,I2,01,08019004,2.2045,41.4039,,,,7h,Bona,65,7h,Buena,33,21/06/2018 8:00,1529561102
Sants,Buena,ID,01,08019042,2.1331,41.3788,,,,8h,Bona,88,,,,21/06/2018 9:00,1529564702
Eixample,Regular,IH,01,08019043,2.1538,41.3853,8h,Buena,2,8h,Regular,96,8h,Regular,45,21/06/2018 9:00,1529564702
Gràcia,Regular,IJ,01,08019044,2.1534,41.3987,8h,Buena,2,8h,Regular,97,8h,Buena,34,21/06/2018 9:00,1529564702
Ciutadella,Buena,IL,01,08019050,2.1874,41.3864,8h,Buena,4,8h,Bona,63,,,,21/06/2018 9:00,1529564702
Vall Hebron,Buena,IN,01,08019054,2.148,41.4261,8h,Buena,10,8h,Bona,90,8h,Buena,23,21/06/2018 9:00,1529564702
Palau Reial,Buena,IZ,01,08019057,2.1151,41.3875,8h,Buena,5,8h,Bona,84,8h,Buena,23,21/06/2018 9:00,1529564702
Poblenou,Buena,I2,01,08019004,2.2045,41.4039,,,,8h,Bona,70,8h,Buena,33,21/06/2018 9:00,1529564702
Sants,Regular,ID,01,08019042,2.1331,41.3788,,,,9h,Regular,100,,,,21/06/2018 10:00,1529568303
Eixample,Regular,IH,01,08019043,2.1538,41.3853,9h,Buena,4,9h,Regular,121,9h,Regular,41,21/06/2018 10:00,1529568303
Gràcia,Regular,IJ,01,08019044,2.1534,41.3987,9h,Buena,4,9h,Regular,134,9h,Buena,34,21/06/2018 10:00,1529568303
Ciutadella,Regular,IL,01,08019050,2.1874,41.3864,9h,Buena,6,9h,Regular,96,,,,21/06/2018 10:00,1529568303
Vall Hebron,Buena,IN,01,08019054,2.148,41.4261,9h,Buena,20,9h,Bona,78,9h,Buena,23,21/06/2018 10:00,1529568303
Palau Reial,Buena,IZ,01,08019057,2.1151,41.3875,8h,Buena,5,8h,Bona,84,9h,Buena,22,21/06/2018 10:00,1529568303
Poblenou,Buena,I2,01,08019004,2.2045,41.4039,,,,9h,Bona,77,9h,Buena,34,21/06/2018 10:00,1529568303
Sants,Regular,ID,01,08019042,2.1331,41.3788,,,,10h,Regular,100,,,,21/06/2018 11:00,1529571902
Eixample,Regular,IH,01,08019043,2.1538,41.3853,10h,Buena,7,10h,Regular,157,10h,Regular,38,21/06/2018 11:00,1529571902
Gràcia,Regular,IJ,01,08019044,2.1534,41.3987,10h,Buena,7,10h,Regular,164,10h,Buena,35,21/06/2018 11:00,1529571902
Ciutadella,Regular,IL,01,08019050,2.1874,41.3864,10h,Buena,13,10h,Regular,109,,,,21/06/2018 11:00,1529571902
Vall Hebron,Buena,IN,01,08019054,2.148,41.4261,10h,Buena,50,10h,Bona,50,10h,Buena,23,21/06/2018 11:00,1529571902
Palau Reial,Buena,IZ,01,08019057,2.1151,41.3875,10h,Buena,36,10h,Bona,82,10h,Buena,23,21/06/2018 11:00,1529571902
Poblenou,Regular,I2,01,08019004,2.2045,41.4039,,,,10h,Regular,94,10h,Buena,34,21/06/2018 11:00,1529571902
Sants,Regular,ID,01,08019042,2.1331,41.3788,,,,11h,Regular,128,,,,21/06/2018 12:00,1529575503
Eixample,Regular,IH,01,08019043,2.1538,41.3853,11h,Buena,11,11h,Regular,197,11h,Regular,39,21/06/2018 12:00,1529575503
Gràcia,Regular,IJ,01,08019044,2.1534,41.3987,11h,Buena,16,11h,Regular,165,11h,Buena,36,21/06/2018 12:00,1529575503
Ciutadella,Regular,IL,01,08019050,2.1874,41.3864,11h,Buena,35,11h,Regular,108,,,,21/06/2018 12:00,1529575503
Vall Hebron,Buena,IN,01,08019054,2.148,41.4261,11h,Buena,76,11h,Bona,31,11h,Buena,23,21/06/2018 12:00,1529575503
Palau Reial,Regular,IZ,01,08019057,2.1151,41.3875,11h,Buena,50,11h,Regular,92,12h,Buena,24,21/06/2018 12:00,1529575503
Poblenou,Regular,I2,01,08019004,2.2045,41.4039,,,,11h,Regular,108,12h,Buena,35,21/06/2018 12:00,1529575503
Sants,Regular,ID,01,08019042,2.1331,41.3788,,,,12h,Regular,165,,,,21/06/2018 13:00,1529579103
Eixample,Regular,IH,01,08019043,2.1538,41.3853,12h,Buena,27,12h,Regular,160,12h,Regular,41,21/06/2018 13:00,1529579103
Gràcia,Regular,IJ,01,08019044,2.1534,41.3987,12h,Buena,34,12h,Regular,145,12h,Regular,38,21/06/2018 13:00,1529579103
Ciutadella,Buena,IL,01,08019050,2.1874,41.3864,12h,Buena,63,12h,Bona,65,,,,21/06/2018 13:00,1529579103
Vall Hebron,Regular,IN,01,08019054,2.148,41.4261,12h,Buena,53,12h,Regular,92,12h,Buena,24,21/06/2018 13:00,1529579103
Palau Reial,Regular,IZ,01,08019057,2.1151,41.3875,12h,Buena,46,12h,Regular,146,12h,Buena,26,21/06/2018 13:00,1529579103
Poblenou,Buena,I2,01,08019004,2.2045,41.4039,,,,12h,Bona,62,12h,Buena,36,21/06/2018 13:00,1529579103
Sants,Regular,ID,01,08019042,2.1331,41.3788,,,,13h,Regular,107,,,,21/06/2018 14:00,1529582702
Eixample,Regular,IH,01,08019043,2.1538,41.3853,13h,Buena,37,13h,Regular,136,13h,Regular,42,21/06/2018 14:00,1529582702
Gràcia,Regular,IJ,01,08019044,2.1534,41.3987,13h,Buena,54,13h,Regular,119,13h,Regular,39,21/06/2018 14:00,1529582702
Ciutadella,Buena,IL,01,08019050,2.1874,41.3864,13h,Buena,72,13h,Bona,44,,,,21/06/2018 14:00,1529582702
Vall Hebron,Buena,IN,01,08019054,2.148,41.4261,13h,Buena,81,13h,Bona,65,13h,Buena,25,21/06/2018 14:00,1529582702
Palau Reial,Regular,IZ,01,08019057,2.1151,41.3875,13h,Buena,54,13h,Regular,117,13h,Buena,29,21/06/2018 14:00,1529582702
Poblenou,Regular,I2,01,08019004,2.2045,41.4039,,,,13h,Bona,28,13h,Regular,37,21/06/2018 14:00,1529582702
Sants,Buena,ID,01,08019042,2.1331,41.3788,,,,14h,Bona,49,,,,21/06/2018 15:00,1529586303
Eixample,Regular,IH,01,08019043,2.1538,41.3853,14h,Buena,51,14h,Regular,110,14h,Regular,43,21/06/2018 15:00,1529586303
Gràcia,Regular,IJ,01,08019044,2.1534,41.3987,14h,Buena,48,14h,Regular,119,14h,Regular,41,21/06/2018 15:00,1529586303
Ciutadella,Buena,IL,01,08019050,2.1874,41.3864,13h,Buena,72,13h,Bona,44,,,,21/06/2018 15:00,1529586303
Vall Hebron,Buena,IN,01,08019054,2.148,41.4261,14h,Buena,97,14h,Bona,61,14h,Buena,26,21/06/2018 15:00,1529586303
Palau Reial,Regular,IZ,01,08019057,2.1151,41.3875,14h,Regular,112,14h,Bona,57,14h,Buena,31,21/06/2018 15:00,1529586303
Poblenou,Regular,I2,01,08019004,2.2045,41.4039,,,,14h,Bona,46,14h,Regular,37,21/06/2018 15:00,1529586303
Sants,Buena,ID,01,08019042,2.1331,41.3788,,,,15h,Bona,36,,,,21/06/2018 16:00,1529589902
Eixample,Regular,IH,01,08019043,2.1538,41.3853,15h,Buena,93,15h,Regular,95,15h,Regular,43,21/06/2018 16:00,1529589902
Gràcia,Regular,IJ,01,08019044,2.1534,41.3987,14h,Buena,48,15h,Bona,80,16h,Regular,41,21/06/2018 16:00,1529589902
Vall Hebron,Buena,IN,01,08019054,2.148,41.4261,15h,Buena,111,15h,Bona,47,16h,Buena,27,21/06/2018 16:00,1529589902
Palau Reial,Regular,IZ,01,08019057,2.1151,41.3875,15h,Regular,134,15h,Bona,33,15h,Buena,31,21/06/2018 16:00,1529589902
Poblenou,Regular,I2,01,08019004,2.2045,41.4039,,,,15h,Bona,21,15h,Regular,38,21/06/2018 16:00,1529589902
Sants,Buena,ID,01,08019042,2.1331,41.3788,,,,16h,Bona,27,,,,21/06/2018 17:00,1529593502
Eixample,Regular,IH,01,08019043,2.1538,41.3853,16h,Buena,83,16h,Bona,86,16h,Regular,43,21/06/2018 17:00,1529593502
Gràcia,Regular,IJ,01,08019044,2.1534,41.3987,14h,Buena,48,16h,Bona,76,16h,Regular,41,21/06/2018 17:00,1529593502
Vall Hebron,Regular,IN,01,08019054,2.148,41.4261,16h,Regular,118,16h,Bona,34,16h,Buena,27,21/06/2018 17:00,1529593502
Palau Reial,Regular,IZ,01,08019057,2.1151,41.3875,16h,Regular,122,16h,Bona,22,16h,Buena,31,21/06/2018 17:00,1529593502
Poblenou,Regular,I2,01,08019004,2.2045,41.4039,,,,16h,Bona,30,16h,Regular,38,21/06/2018 17:00,1529593502
Sants,Buena,ID,01,08019042,2.1331,41.3788,,,,17h,Bona,26,,,,21/06/2018 18:00,1529597102
Eixample,Regular,IH,01,08019043,2.1538,41.3853,17h,Buena,61,17h,Bona,83,18h,Regular,45,21/06/2018 18:00,1529597102
Gràcia,Regular,IJ,01,08019044,2.1534,41.3987,17h,Buena,68,17h,Bona,78,17h,Regular,40,21/06/2018 18:00,1529597102
Vall Hebron,Buena,IN,01,08019054,2.148,41.4261,17h,Buena,105,17h,Bona,23,17h,Buena,27,21/06/2018 18:00,1529597102
Palau Reial,Buena,IZ,01,08019057,2.1151,41.3875,17h,Buena,102,17h,Bona,22,17h,Buena,31,21/06/2018 18:00,1529597102
Poblenou,Regular,I2,01,08019004,2.2045,41.4039,,,,17h,Bona,54,17h,Regular,39,21/06/2018 18:00,1529597102
Sants,Buena,ID,01,08019042,2.1331,41.3788,,,,17h,Bona,26,,,,21/06/2018 19:00,1529600703
Eixample,Regular,IH,01,08019043,2.1538,41.3853,18h,Buena,56,18h,Regular,102,19h,Regular,45,21/06/2018 19:00,1529600703
Gràcia,Regular,IJ,01,08019044,2.1534,41.3987,18h,Buena,61,18h,Bona,91,19h,Regular,41,21/06/2018 19:00,1529600703
Ciutadella,Buena,IL,01,08019050,2.1874,41.3864,18h,Buena,43,18h,Bona,84,,,,21/06/2018 19:00,1529600703
Vall Hebron,Buena,IN,01,08019054,2.148,41.4261,18h,Buena,93,18h,Bona,28,19h,Buena,27,21/06/2018 19:00,1529600703
Palau Reial,Buena,IZ,01,08019057,2.1151,41.3875,18h,Buena,100,18h,Bona,27,19h,Buena,31,21/06/2018 19:00,1529600703
Poblenou,Regular,I2,01,08019004,2.2045,41.4039,,,,18h,Bona,80,19h,Regular,40,21/06/2018 19:00,1529600703
Sants,Buena,ID,01,08019042,2.1331,41.3788,,,,17h,Bona,26,,,,21/06/2018 20:00,1529604302
Eixample,Regular,IH,01,08019043,2.1538,41.3853,19h,Buena,34,19h,Regular,115,19h,Regular,45,21/06/2018 20:00,1529604302
Gràcia,Regular,IJ,01,08019044,2.1534,41.3987,19h,Buena,49,19h,Regular,92,19h,Regular,40,21/06/2018 20:00,1529604302
Ciutadella,Buena,IL,01,08019050,2.1874,41.3864,19h,Buena,16,19h,Bona,85,,,,21/06/2018 20:00,1529604302
Vall Hebron,Buena,IN,01,08019054,2.148,41.4261,19h,Buena,89,19h,Bona,27,19h,Buena,27,21/06/2018 20:00,1529604302
Palau Reial,Buena,IZ,01,08019057,2.1151,41.3875,19h,Buena,82,19h,Bona,31,19h,Buena,30,21/06/2018 20:00,1529604302
Poblenou,Regular,I2,01,08019004,2.2045,41.4039,,,,19h,Bona,59,19h,Regular,41,21/06/2018 20:00,1529604302
Eixample,Regular,IH,01,08019043,2.1538,41.3853,20h,Buena,32,20h,Regular,106,21h,Regular,45,21/06/2018 21:00,1529607904
Gràcia,Regular,IJ,01,08019044,2.1534,41.3987,20h,Buena,47,20h,Bona,86,21h,Regular,40,21/06/2018 21:00,1529607904
Ciutadella,Buena,IL,01,08019050,2.1874,41.3864,20h,Buena,28,20h,Bona,73,,,,21/06/2018 21:00,1529607904
Vall Hebron,Buena,IN,01,08019054,2.148,41.4261,20h,Buena,74,20h,Bona,35,21h,Buena,27,21/06/2018 21:00,1529607904
Palau Reial,Buena,IZ,01,08019057,2.1151,41.3875,20h,Buena,76,20h,Bona,35,21h,Buena,30,21/06/2018 21:00,1529607904
Poblenou,Regular,I2,01,08019004,2.2045,41.4039,,,,20h,Bona,84,21h,Regular,43,21/06/2018 21:00,1529607904
Eixample,Regular,IH,01,08019043,2.1538,41.3853,21h,Buena,25,21h,Regular,100,21h,Regular,45,21/06/2018 22:00,1529611503
Gràcia,Regular,IJ,01,08019044,2.1534,41.3987,21h,Buena,58,21h,Bona,64,21h,Regular,39,21/06/2018 22:00,1529611503
Ciutadella,Regular,IL,01,08019050,2.1874,41.3864,21h,Buena,11,21h,Regular,95,,,,21/06/2018 22:00,1529611503
Vall Hebron,Buena,IN,01,08019054,2.148,41.4261,21h,Buena,71,21h,Bona,41,21h,Buena,26,21/06/2018 22:00,1529611503
Palau Reial,Buena,IZ,01,08019057,2.1151,41.3875,21h,Buena,74,21h,Bona,35,21h,Buena,29,21/06/2018 22:00,1529611503
Poblenou,Regular,I2,01,08019004,2.2045,41.4039,,,,21h,Bona,90,21h,Regular,44,21/06/2018 22:00,1529611503
Eixample,Regular,IH,01,08019043,2.1538,41.3853,22h,Buena,18,22h,Regular,97,22h,Regular,44,21/06/2018 23:00,1529615102
Gràcia,Regular,IJ,01,08019044,2.1534,41.3987,22h,Buena,39,22h,Bona,77,22h,Regular,38,21/06/2018 23:00,1529615102
Ciutadella,Regular,IL,01,08019050,2.1874,41.3864,22h,Buena,5,22h,Regular,98,,,,21/06/2018 23:00,1529615102
Vall Hebron,Buena,IN,01,08019054,2.148,41.4261,22h,Buena,55,22h,Bona,53,22h,Buena,26,21/06/2018 23:00,1529615102
Palau Reial,Buena,IZ,01,08019057,2.1151,41.3875,22h,Buena,54,22h,Bona,49,22h,Buena,29,21/06/2018 23:00,1529615102
Poblenou,Regular,I2,01,08019004,2.2045,41.4039,,,,22h,Bona,78,22h,Regular,46,21/06/2018 23:00,1529615102
Eixample,Regular,IH,01,08019043,2.1538,41.3853,23h,Buena,15,23h,Bona,88,23h,Regular,45,22/06/2018 0:00,1529618703
Gràcia,Regular,IJ,01,08019044,2.1534,41.3987,23h,Buena,21,23h,Bona,82,23h,Regular,38,22/06/2018 0:00,1529618703
Ciutadella,Regular,IL,01,08019050,2.1874,41.3864,23h,Buena,7,23h,Regular,95,,,,22/06/2018 0:00,1529618703
Vall Hebron,Buena,IN,01,08019054,2.148,41.4261,23h,Buena,41,23h,Bona,64,23h,Buena,26,22/06/2018 0:00,1529618703
Palau Reial,Buena,IZ,01,08019057,2.1151,41.3875,23h,Buena,43,23h,Bona,54,23h,Buena,29,22/06/2018 0:00,1529618703
Poblenou,Regular,I2,01,08019004,2.2045,41.4039,,,,23h,Regular,95,23h,Regular,47,22/06/2018 0:00,1529618703
Sants,Buena,ID,01,08019042,2.1331,41.3788,,,,0h,Bona,26,,,,22/06/2018 1:00,1529622302
Eixample,Regular,IH,01,08019043,2.1538,41.3853,0h,Buena,36,0h,Bona,54,0h,Regular,45,22/06/2018 1:00,1529622302
Gràcia,Regular,IJ,01,08019044,2.1534,41.3987,0h,Buena,30,0h,Bona,65,0h,Regular,37,22/06/2018 1:00,1529622302
Ciutadella,Buena,IL,01,08019050,2.1874,41.3864,0h,Buena,28,0h,Bona,64,,,,22/06/2018 1:00,1529622302
Vall Hebron,Regular,IN,01,08019054,2.148,41.4261,0h,Buena,11,0h,Regular,93,0h,Buena,26,22/06/2018 1:00,1529622302
Palau Reial,Buena,IZ,01,08019057,2.1151,41.3875,0h,Buena,21,0h,Bona,69,0h,Buena,29,22/06/2018 1:00,1529622302
Poblenou,Regular,I2,01,08019004,2.2045,41.4039,,,,0h,Regular,98,0h,Regular,46,22/06/2018 1:00,1529622302
Eixample,Regular,IH,01,08019043,2.1538,41.3853,1h,Buena,18,1h,Bona,75,2h,Regular,46,22/06/2018 2:00,1529625905
Gràcia,Regular,IJ,01,08019044,2.1534,41.3987,1h,Buena,10,1h,Bona,81,2h,Regular,37,22/06/2018 2:00,1529625905
Ciutadella,Buena,IL,01,08019050,2.1874,41.3864,1h,Buena,6,1h,Bona,89,,,,22/06/2018 2:00,1529625905
Vall Hebron,Regular,IN,01,08019054,2.148,41.4261,1h,Buena,4,1h,Regular,92,2h,Buena,27,22/06/2018 2:00,1529625905
Palau Reial,Buena,IZ,01,08019057,2.1151,41.3875,1h,Buena,7,1h,Bona,80,2h,Buena,30,22/06/2018 2:00,1529625905
Poblenou,Regular,I2,01,08019004,2.2045,41.4039,,,,1h,Regular,96,2h,Regular,47,22/06/2018 2:00,1529625905
Eixample,Regular,IH,01,08019043,2.1538,41.3853,2h,Buena,15,2h,Bona,62,2h,Regular,45,22/06/2018 3:00,1529629502
Gràcia,Regular,IJ,01,08019044,2.1534,41.3987,2h,Buena,4,2h,Bona,82,2h,Regular,37,22/06/2018 3:00,1529629502
Ciutadella,Buena,IL,01,08019050,2.1874,41.3864,2h,Buena,10,2h,Bona,71,,,,22/06/2018 3:00,1529629502
Vall Hebron,Buena,IN,01,08019054,2.148,41.4261,2h,Buena,24,2h,Bona,64,2h,Buena,27,22/06/2018 3:00,1529629502
Palau Reial,Buena,IZ,01,08019057,2.1151,41.3875,2h,Buena,2,2h,Bona,86,2h,Buena,30,22/06/2018 3:00,1529629502
Poblenou,Regular,I2,01,08019004,2.2045,41.4039,,,,2h,Regular,92,2h,Regular,47,22/06/2018 3:00,1529629502
Eixample,Regular,IH,01,08019043,2.1538,41.3853,3h,Buena,2,3h,Bona,76,4h,Regular,45,22/06/2018 4:00,1529633105
Gràcia,Regular,IJ,01,08019044,2.1534,41.3987,3h,Buena,1,3h,Bona,87,4h,Regular,37,22/06/2018 4:00,1529633105
Ciutadella,Buena,IL,01,08019050,2.1874,41.3864,3h,Buena,2,3h,Bona,80,,,,22/06/2018 4:00,1529633105
Vall Hebron,Buena,IN,01,08019054,2.148,41.4261,3h,Buena,51,3h,Bona,37,4h,Buena,28,22/06/2018 4:00,1529633105
Palau Reial,Buena,IZ,01,08019057,2.1151,41.3875,3h,Buena,26,3h,Bona,54,4h,Buena,31,22/06/2018 4:00,1529633105
Poblenou,Regular,I2,01,08019004,2.2045,41.4039,,,,3h,Bona,86,4h,Regular,48,22/06/2018 4:00,1529633105
Eixample,Regular,IH,01,08019043,2.1538,41.3853,4h,Buena,1,4h,Bona,77,4h,Regular,44,22/06/2018 5:00,1529636702
Gràcia,Buena,IJ,01,08019044,2.1534,41.3987,4h,Buena,11,4h,Bona,80,4h,Buena,36,22/06/2018 5:00,1529636702
Ciutadella,Buena,IL,01,08019050,2.1874,41.3864,4h,Buena,2,4h,Bona,82,,,,22/06/2018 5:00,1529636702
Vall Hebron,Buena,IN,01,08019054,2.148,41.4261,4h,Buena,48,4h,Bona,35,4h,Buena,27,22/06/2018 5:00,1529636702
Palau Reial,Buena,IZ,01,08019057,2.1151,41.3875,4h,Buena,34,4h,Bona,43,4h,Buena,30,22/06/2018 5:00,1529636702
Poblenou,Regular,I2,01,08019004,2.2045,41.4039,,,,4h,Bona,78,4h,Regular,47,22/06/2018 5:00,1529636702
Eixample,Regular,IH,01,08019043,2.1538,41.3853,5h,Buena,1,5h,Bona,78,6h,Regular,46,22/06/2018 6:00,1529640305
Gràcia,Regular,IJ,01,08019044,2.1534,41.3987,5h,Buena,3,5h,Bona,88,6h,Regular,37,22/06/2018 6:00,1529640305
Ciutadella,Buena,IL,01,08019050,2.1874,41.3864,5h,Buena,2,5h,Bona,76,,,,22/06/2018 6:00,1529640305
Vall Hebron,Buena,IN,01,08019054,2.148,41.4261,5h,Buena,35,5h,Bona,53,6h,Buena,27,22/06/2018 6:00,1529640305
Palau Reial,Buena,IZ,01,08019057,2.1151,41.3875,5h,Buena,49,5h,Bona,28,6h,Buena,31,22/06/2018 6:00,1529640305
Poblenou,Regular,I2,01,08019004,2.2045,41.4039,,,,5h,Bona,59,6h,Regular,48,22/06/2018 6:00,1529640305
Eixample,Regular,IH,01,08019043,2.1538,41.3853,6h,Buena,2,6h,Bona,78,6h,Regular,45,22/06/2018 7:00,1529643902
Gràcia,Regular,IJ,01,08019044,2.1534,41.3987,6h,Buena,1,6h,Bona,89,6h,Regular,37,22/06/2018 7:00,1529643902
Ciutadella,Buena,IL,01,08019050,2.1874,41.3864,6h,Buena,2,6h,Bona,70,,,,22/06/2018 7:00,1529643902
Vall Hebron,Buena,IN,01,08019054,2.148,41.4261,6h,Buena,28,6h,Bona,60,6h,Buena,27,22/06/2018 7:00,1529643902
Palau Reial,Buena,IZ,01,08019057,2.1151,41.3875,6h,Buena,41,6h,Bona,36,7h,Buena,30,22/06/2018 7:00,1529643902
Poblenou,Regular,I2,01,08019004,2.2045,41.4039,,,,6h,Bona,63,7h,Regular,47,22/06/2018 7:00,1529643902
Eixample,Regular,IH,01,08019043,2.1538,41.3853,7h,Buena,1,7h,Bona,88,8h,Regular,45,22/06/2018 8:00,1529647505
Gràcia,Regular,IJ,01,08019044,2.1534,41.3987,7h,Buena,2,7h,Bona,84,8h,Regular,37,22/06/2018 8:00,1529647505
Ciutadella,Buena,IL,01,08019050,2.1874,41.3864,7h,Buena,2,7h,Bona,72,,,,22/06/2018 8:00,1529647505
Vall Hebron,Buena,IN,01,08019054,2.148,41.4261,7h,Buena,11,7h,Bona,74,8h,Buena,26,22/06/2018 8:00,1529647505
Palau Reial,Buena,IZ,01,08019057,2.1151,41.3875,7h,Buena,15,7h,Bona,64,8h,Buena,30,22/06/2018 8:00,1529647505
Poblenou,Regular,I2,01,08019004,2.2045,41.4039,,,,7h,Bona,65,8h,Regular,46,22/06/2018 8:00,1529647505
Eixample,Regular,IH,01,08019043,2.1538,41.3853,8h,Buena,2,8h,Regular,105,8h,Regular,46,22/06/2018 9:00,1529651103
Gràcia,Regular,IJ,01,08019044,2.1534,41.3987,8h,Buena,2,8h,Regular,93,8h,Regular,37,22/06/2018 9:00,1529651103
Ciutadella,Buena,IL,01,08019050,2.1874,41.3864,8h,Buena,2,8h,Bona,67,,,,22/06/2018 9:00,1529651103
Vall Hebron,Buena,IN,01,08019054,2.148,41.4261,8h,Buena,10,8h,Bona,80,8h,Buena,26,22/06/2018 9:00,1529651103
Palau Reial,Buena,IZ,01,08019057,2.1151,41.3875,8h,Buena,6,8h,Bona,82,8h,Buena,30,22/06/2018 9:00,1529651103
Poblenou,Regular,I2,01,08019004,2.2045,41.4039,,,,8h,Bona,74,8h,Regular,47,22/06/2018 9:00,1529651103
Eixample,Regular,IH,01,08019043,2.1538,41.3853,9h,Buena,2,9h,Regular,132,9h,Regular,47,22/06/2018 10:00,1529654702
Gràcia,Regular,IJ,01,08019044,2.1534,41.3987,9h,Buena,4,9h,Regular,116,9h,Regular,37,22/06/2018 10:00,1529654702
Ciutadella,Buena,IL,01,08019050,2.1874,41.3864,9h,Buena,4,9h,Bona,84,,,,22/06/2018 10:00,1529654702
Vall Hebron,Buena,IN,01,08019054,2.148,41.4261,9h,Buena,19,9h,Bona,77,9h,Buena,27,22/06/2018 10:00,1529654702
Palau Reial,Regular,IZ,01,08019057,2.1151,41.3875,9h,Buena,7,9h,Regular,108,9h,Buena,30,22/06/2018 10:00,1529654702
Poblenou,Regular,I2,01,08019004,2.2045,41.4039,,,,9h,Bona,89,9h,Regular,46,22/06/2018 10:00,1529654702
Eixample,Regular,IH,01,08019043,2.1538,41.3853,10h,Buena,4,10h,Regular,167,10h,Regular,47,22/06/2018 11:00,1529658302
Gràcia,Regular,IJ,01,08019044,2.1534,41.3987,10h,Buena,5,10h,Regular,159,11h,Buena,36,22/06/2018 11:00,1529658302
